s e c t o r,g a s,1 9 6 0,1 9 6 1,1 9 6 2,1 9 6 3,1 9 6 4,1 9 6 5,1 9 6 6,1 9 6 7,1 9 6 8,1 9 6 9,1 9 7 0,1 9 7 1,1 9 7 2,1 9 7 3,1 9 7 4,1 9 7 5,1 9 7 6,1 9 7 7,1 9 7 8,1 9 7 9,1 9 8 0,1 9 8 1,1 9 8 2,1 9 8 3,1 9 8 4,1 9 8 5,1 9 8 6,1 9 8 7,1 9 8 8,1 9 8 9,1 9 9 0,1 9 9 1,1 9 9 2,1 9 9 3,1 9 9 4,1 9 9 5,1 9 9 6,1 9 9 7,1 9 9 8,1 9 9 9,2 0 0 0,2 0 0 1,2 0 0 2,2 0 0 3,2 0 0 4,2 0 0 5,2 0 0 6,2 0 0 7,2 0 0 8,2 0 0 9,2 0 1 0,2 0 1 1,2 0 1 2,2 0 1 3,2 0 1 4,2 0 1 5,2 0 1 6,2 0 1 7,2 0 1 8,2 0 1 9,2 0 2 0,2 0 2 1
Agriculture,CH4,179.99,172.9,184.26749999999998,192.795,186.79749999999999,189.19500000000002,199.8975,206.8725,207.0375,205.1625,202.835,211.3175,216.48999999999998,218.7375,223.4925,228.5,228.87,228.495,232.025,235.1325,237.0975,236.69,238.0475,240.51500000000001,244.65,245.625,244.6025,246.21,240.4875,242.0975,239.015,232.8475,221.9175,211.5525,194.385,175.57,159.7075,142.64,132.3325,125.4775,122.7175,121.72749999999999,123.35249999999999,123.8125,122.2225,119.7275,119.5375,120.495,123.6225,123.55499999999999,123.735,122.6,124.61,127.2525,128.09,128.8075,131.685,132.83499999999998,133.72,134.3,137.165,137.1575
Agriculture,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.382629,10.894001,11.34913,11.880445,12.342187,12.770438,12.936741000000001,13.275514000000001,13.514206,13.762413,14.195691,14.522497000000001,15.156938000000002,15.688265,15.886259999999998,16.396483,16.936814,17.247429,17.339774000000002,17.154951999999998,17.322282,14.855523000000002,12.949681,10.038278,6.6087537,5.5536007000000005,3.7488211,4.29946,2.4389119999999997,2.5102134,2.55254,2.55891,2.617447,3.131898,2.935457,3.267314,3.255696,3.228173,3.368071,2.935109,3.267426,3.218575,3.428157,2.861605,3.2816430000000003,3.00848,2.8890000000000002,3.10535,3.115,2.992828,3.2004900000000003,3.03949
Agriculture,N2O,119.21639,126.96856199999999,134.229332,137.395582,137.494518,140.680436,152.238068,156.827864,160.88960400000002,162.14567399999999,169.252378,178.32886200000002,183.540882,192.26363999999998,196.46752600000002,200.387716,203.63681,204.31923,210.988768,207.57994599999998,214.88929,213.41717,221.2054,232.046342,232.323482,238.987358,244.10491199999998,247.06345599999997,242.23198200000002,231.41339,221.816002,207.556702,194.805878,180.59396,157.383634,143.821654,135.018734,134.21592199999998,128.52442,123.11274,124.52824,125.5176,126.24770000000001,122.4631,126.20598,125.2345,125.29112,124.1766,132.93482,132.61,128.9595,138.0038,134.10596,140.5368,142.24136,142.88504,151.62538,152.54024,156.6586,159.62966,161.38488,162.95534
Energy,CH4,311.51849999999996,315.5575,323.28525,336.72825,347.292,355.9535,362.41999999999996,363.29650000000004,356.767,353.808,357.77025,356.31575,364.08725,374.79150000000004,387.39799999999997,399.4785,413.898,424.2655,435.002,443.767,449.81025,447.84025,457.753,460.17625,473.9305,482.85875,500.75725,514.8465,543.376,555.01925,564.9445000000001,536.4605,500.4385,508.699,447.37025,428.77275,428.15250000000003,406.63625,399.277,416.9995,438.5685,439.64475000000004,433.875,451.397,445.3295,444.89775,458.1095,454.11225,447.35025,380.67175,382.5925,392.05675,386.75,375.7455,364.98375,352.55025,345.40324999999996,346.33375,356.32375,362.11275,351.90125,328.08875
Energy,CO2,1454.97,1499.96,1574.57,1687.97,1799.7200000000003,1911.21,2013.14,2109.32,2171.88,2256.9500000000003,2377.1,2500.65,2631.15,2742.7,2850.4,2994.6,3108.4,3217.1000000000004,3329.9,3364.5,3496.2,3432.1,3495.2000000000003,3542.1000000000004,3570.5,3846.2,3860.1000000000004,3848.2,3945.8999999999996,3859.2000000000003,3666.3,3467.5,2912.6,2689.0,2347.57,2269.87,2197.76,2067.92,2033.9999999999998,1980.69,1953.37,2002.0300000000002,2001.74,2043.15,2046.93,2086.82,2173.16,2178.75,2229.15,2078.13,2192.3,2249.7,2269.75,2216.45,2218.23,2184.91,2202.45,2246.78,2319.94,2261.05,2143.34,2274.91
Energy,N2O,18.7448854,18.635877,18.3469958,17.907326599999998,17.3890748,16.8051438,16.248003,15.733923200000001,15.289366800000002,15.0031676,16.183396600000002,16.1780326,17.2289594,18.3065572,19.2471942,21.081145799999998,21.631224,21.878564,22.6636748,22.7979834,22.995408400000002,23.2614032,23.3678786,23.423992,23.586551,23.635512400000003,23.866075000000002,24.4280732,24.714779,24.6158728,23.4867508,21.107846600000002,17.530475799999998,15.302002000000002,13.104132800000002,12.9486066,11.5547414,10.848988,10.0876278,9.9693516,10.1775344,10.31845264,10.156614800000002,10.3389908,10.4089612,10.8328364,11.5063462,11.411165,11.6880368,10.9658636,10.6594302,11.0582734,10.402137,10.158373,10.8973832,10.4018092,10.1507442,10.3107702,10.4651044,10.54771,9.957193199999999,9.9439024
Industrial Processes and Product Use,CH4,2.7200385000000002,2.71722675,2.7453552500000002,2.89749025,3.011333,3.1510055,3.2929945,3.37142225,3.36682475,3.445777,3.2488555000000003,3.0278115,3.2303187999999996,3.2297108,2.911989,2.8411315000000004,2.7775925,2.5261835,2.4177308,2.4202638000000003,2.2182165,2.1694418,1.7207688,1.5492797999999999,1.841452,1.8325238,1.7641160000000002,1.8527165,1.8139388,1.8028895,1.7416663000000001,1.4997393,1.4101333,1.142585,0.95356775,0.8503707500000001,0.7655643000000001,0.88739625,0.87084905,0.9935155000000001,1.12113,1.8950503,2.646476,3.353131,4.1666620000000005,3.6229292999999996,3.5817843,3.5768348000000003,2.2764387999999998,1.196575,1.6822895,3.164796,2.7762995,1.5610417,1.2855125116,1.23160906,1.2700275,2.1579725,3.7597424999999998,4.145531,4.2980865,2.9091175000000002
Industrial Processes and Product Use,CO2,302.49199999999996,314.475,330.17699999999996,355.838,381.40299999999996,411.28700000000003,441.226,461.352,471.89300000000003,491.677,470.485,455.289,485.17900000000003,511.84499999999997,485.988,477.078,487.28,474.79900000000004,462.349,452.748,436.557,427.486,378.53999999999996,368.055,400.97400000000005,394.986,395.783,397.802,400.454,392.999,384.415,344.149,316.05400000000003,268.54299999999995,228.176,227.99900000000002,211.063,217.02700000000002,203.129,227.452,244.805,248.965,255.238,269.68399999999997,283.58,283.411,299.41,312.297,300.745,258.219,277.821,291.437,294.644,292.704,285.637,281.175,279.923,276.777,281.101,283.765,287.2579,282.7459
Industrial Processes and Product Use,F-Gas,8.06832564,8.57110969,9.15049374,9.78527821,10.47426287,11.22024783,11.96553398,12.738619219999999,13.51170465,14.27079014,16.43687571,17.89196173,19.01304865,21.617139260000002,23.85122529,23.73031171,26.76139828,28.83549499,30.78258132,32.639667599999996,35.0267532,36.5218385,35.8189335,40.893018399999995,43.6004032,44.921189037,48.4142754,51.60337417,58.1104681,62.177574699999994,56.688231099999996,57.292727766999995,48.64365213,36.33085209,32.74957767,32.29065698,28.946679630000002,31.5500228,34.738076299999996,35.214360600000006,39.6106454,37.401559999999996,29.78151,24.899800000000003,29.325,31.1983,29.225,28.2577,29.2109,22.5825,23.6188,20.9073,32.5723,35.148740000000004,34.9121,33.109700000000004,34.726,44.902669,52.5772,46.26240000000001,49.4657,49.692
Industrial Processes and Product Use,N2O,9.183467969999999,10.495992266,12.304168666,14.43051778,16.684324574,19.014497644,21.226777244,23.23012348,24.805921564,25.886223819999998,22.712385844,23.571355748,24.522675751999998,26.582525460000003,27.998665168,27.033755376,27.22216548,27.58633658,27.22338778,26.890238880000002,27.55539296,26.90037426,24.88051864,24.1778559,23.93416968,22.42752956,22.273335619999997,21.720656079999998,19.48493522,19.480095900000002,14.85679298,14.83001768,13.1038646,11.39883972,9.28677366,8.96551476,9.9945475,10.10524258,9.3336729,9.8677932,11.1272455,11.18340658,12.463236120000001,12.71842842,12.91101092,14.0053146,14.4357607,16.63454456,15.27324182,12.025479579999999,13.01542664,14.38294566,13.6342445,12.788720159999999,12.282415180000001,12.15758,12.71664866,12.55268608,12.42331832,13.67400932,14.179411259999998,13.01578086
Other,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002725,0.00018,0.000115,0.000145,0.0001725,0.00026,0.0002725,0.0002025,0.00022,0.0001625,0.000115,0.000125,0.0002075,0.0001075,7.75e-05,6e-05,7.25e-05,9.75e-05,9.25e-05,3e-05,5.75e-05,3.25e-05,1.5e-05,7.5e-06,1e-05,7.5e-06,0.0,0.0,0.0,0.0,0.0,0.0
Other,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.831,0.7067,0.5815,0.6214000000000001,0.673,0.7158,0.7726999999999999,0.7607999999999999,0.7152000000000001,0.6684,0.6304,0.5745,0.5044,0.4406,0.37389999999999995,0.32199999999999995,0.2645,0.2097,0.12229999999999999,0.09419999999999999,0.0513,0.01632,0.0039,0.00329,0.00288,0.00357,0.000845,0.0,0.0,0.0,0.0
Other,N2O,10.632848599999999,10.68118718,10.73578376,10.789814139999999,10.84113272,10.8951333,10.94674988,10.99508846,11.04912182,11.103420400000001,10.31213802,10.31455182,10.9607827,11.77385186,12.53303368,13.3797828,13.7767486,13.96485216,14.68981166,14.94714062,15.384002659999998,15.379565439999999,15.3890478,15.33370324,15.25775496,15.156217419999999,15.399105299999999,15.88457412,15.862918460000001,15.59881894,16.6361182,16.3325456,14.7543674,14.144957400000001,11.968156800000001,10.840018200000001,10.319293,9.4668342,9.7302066,9.4423684,9.383572999999998,9.358540999999999,9.3292178,9.5088522,9.2818358,9.1970548,9.415608,9.3245094,9.4704102,8.6168786,8.8231244,9.3742456,9.643578,9.4384348,9.091235000000001,8.837935,8.6889067,8.5845179,8.658721100000001,8.7472834,8.686402,8.657793999999999
Total excluding LULUCF,CH4,539.7049999999999,537.66,559.5,584.365,588.8525,603.355,621.6975,631.15,626.9075,625.0175,624.5975000000001,636.1625,650.2475,664.025,682.68,700.735,718.3725,726.9675,743.8075,756.29,764.1424999999999,762.03,774.585,782.6700000000001,801.6075,810.9825,829.2525,845.02,871.3475,886.705,891.9375,857.7225000000001,806.5074999999999,803.9375,723.3475,687.44,669.065,632.01,615.1650000000001,627.7375,646.8925,649.4200000000001,648.6825,668.3025,663.7575,661.235,677.6525,677.69,676.5125,611.7675,615.835,628.9625,629.625,620.665,614.4075,604.5925,603.355,607.3225,622.735,631.99,628.6125,605.1800000000001
Total excluding LULUCF,CO2,1756.7199999999998,1810.96,1906.13,2043.9,2178.05,2317.13,2454.08,2570.16,2638.7999999999997,2755.96,2861.35,2964.7799999999997,3124.1,3265.6,3344.9,3481.2,3606.4,3703.2999999999997,3807.4,3830.3,3947.8999999999996,3867.1,3886.6,3922.9,3991.0,4266.400000000001,4272.6,4263.0,4360.5,4268.6,4060.6,3833.2,3247.1000000000004,2968.3,2585.1,2501.84,2415.02,2283.23,2236.55,2207.03,2204.23,2247.91,2260.4,2317.07,2335.87,2375.54,2480.1,2495.6499999999996,2534.55,2339.71,2478.69,2544.63,2562.7599999999998,2506.43,2510.92,2473.29,2481.73,2520.78,2607.15,2551.04,2431.44,2558.09
Total excluding LULUCF,F-Gas,8.06832564,8.57110969,9.15049374,9.78527821,10.47426287,11.22024783,11.96553398,12.738619219999999,13.51170465,14.27079014,16.43687571,17.89196173,19.01304865,21.617139260000002,23.85122529,23.73031171,26.76139828,28.83549499,30.78258132,32.639667599999996,35.0267532,36.5218385,35.8189335,40.893018399999995,43.6004032,44.921189037,48.4142754,51.60337417,58.1104681,62.177574699999994,56.688231099999996,57.292727766999995,48.64365213,36.33085209,32.74957767,32.29065698,28.946679630000002,31.5500228,34.738076299999996,35.214360600000006,39.6106454,37.401559999999996,29.78151,24.899800000000003,29.325,31.1983,29.225,28.2577,29.2109,22.5825,23.6188,20.9073,32.5723,35.148740000000004,34.9121,33.109700000000004,34.726,44.902669,52.5772,46.26240000000001,49.4657,49.692
Total excluding LULUCF,N2O,161.608678,170.723902,179.672246,184.47302599999998,187.010794,191.959084,205.669468,211.634236,217.082868,219.53481200000002,223.475564,233.942218,241.25901199999998,254.47739800000002,261.535826,267.293186,271.57097600000003,273.116702,281.121578,277.85907399999996,286.258502,284.90886,290.42722399999997,300.70941600000003,301.160588,306.27397,311.87219799999997,315.425848,308.44966800000003,297.339632,282.783524,265.794842,245.6712,226.75982199999999,197.07038,181.92304000000001,172.05626,169.7557,162.91361999999998,157.33506,160.40446,161.28058000000001,163.38148,160.37466,164.02218,164.6003,166.0754,167.08562,175.07798,169.98218,167.27038000000002,178.6808,173.77870000000001,179.1576,180.70124,180.43601999999998,189.31344,190.0942,194.27812,198.96268,200.39904,200.89968
Waste,CH4,44.7265,46.45225,48.45475,50.493249999999996,52.5715,54.40675,56.29125,58.41525,60.32625,62.234500000000004,62.064,64.97475,66.131,67.52499999999999,69.245,70.2625,71.775,72.91,73.9075,74.0625,75.2125,76.24,78.00750000000001,79.3975,80.86,81.0525,82.71,83.8025,84.785,86.2125,86.1025,86.2375,83.7475,82.42999999999999,81.1075,81.635,81.7325,82.38625,82.95175,84.08425,85.2575,86.862,88.4275,90.17,92.3875,94.4125,96.825,99.50500000000001,103.82249999999999,106.3225,108.37,111.9675,114.42499999999998,116.39750000000001,119.735,121.82000000000001,124.055,126.18525000000001,128.6515,131.63,134.78275,137.48925
Waste,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03089,0.031939999999999996,0.032869999999999996,0.03395,0.03501,0.03604,0.03712,0.03813,0.039110000000000006,0.04012,0.04131,0.04228,0.04335,0.04446,0.045520000000000005,0.0467,0.04758,0.04847,0.04944,0.05031,0.07538500000000001,0.073604,0.069905,0.069082,0.064908,0.06467,0.063802,0.06764200000000001,0.07172,0.075569,0.08314,0.08911,0.073062,0.101709,0.109846,0.111305,0.10931300000000001,0.105211,0.108826,0.123279,0.161619,0.145828,0.097799,0.06759899999999999,0.07822,0.07312199999999999,0.06331099999999999,0.06986200000000001,0.10469200000000001,0.1273139,0.0746318,0.088114
Waste,N2O,3.64273561,3.763577888,3.9170225579999998,4.106734722,4.312479882,4.53321474,4.756810398,4.977634358,5.1829623179999995,5.365641384,5.162101722,5.215146616,5.263722404,5.3105092979999995,5.519115258,5.617457642,5.558452152000001,5.49408147,5.595702152,5.692554535999999,5.625801046,5.670799642,5.71460743,5.7610963239999995,5.860631602,6.025430072,6.077879562,6.197083138,6.249234926,6.298107522,6.113342456,5.8060532,5.510765,5.4482446,5.317214,5.303506,5.132454,5.1840079999999995,5.18222,5.066894,5.03918,5.114276,5.21351,5.2483759999999995,5.301122,5.42807,5.497206,5.636968,5.719216,5.738288,5.864044,5.905764,6.024666,6.061022,6.0958879999999995,6.0753260000000004,6.059979,6.052264674,6.1610308,6.274986,6.272602,6.358426
